,Actual_DT,Actual_ET,LI_8100_Vent,Multiplexer_CO2_1,Multiplexer_CO2_2,Multiplexer_CO2_3,Picarro_ANEM,Picarro_CO2,Vent_Anem_Temp
73,2019-08-19 19:00:00,1566262800.0,1566263116,,,,,,
74,2019-08-19 19:01:00,1566262860.0,1566263177,,,,,,
75,2019-08-19 19:02:00,1566262920.0,1566263236,,,,,,
76,2019-08-20 08:33:00,1566311580.0,1566311905,,,,,,
77,2019-08-20 08:34:00,1566311640.0,1566311965,,,,,,
78,2019-08-20 08:35:00,1566311700.0,1566312024,,,,,,
79,2019-08-20 21:44:00,1566359040.0,1566359363,,,,,,
80,2019-08-20 21:45:00,1566359100.0,1566359424,,,,,,
81,2019-08-20 21:46:00,1566359160.0,1566359483,,,,,,
82,2019-08-21 08:40:00,1566398400.0,1566398733,,,,,,
83,2019-08-21 08:41:00,1566398460.0,1566398793,,,,,,
84,2019-08-21 08:42:00,1566398520.0,1566398853,,,,,,
85,2019-08-21 18:18:00,1566433080.0,1566433412,,,,,,
86,2019-08-21 18:19:00,1566433140.0,1566433472,,,,,,
87,2019-08-21 18:20:00,1566433200.0,1566433532,,,,,,
88,2019-08-29 08:21:00,1567088460.0,,,,,,1567088564.6,
89,2019-08-29 08:22:00,1567088520.0,,,,,,1567088624.4,
90,2019-08-29 08:23:00,1567088580.0,,,,,,1567088684.4,
91,2019-08-29 08:24:00,1567088640.0,,,,,,1567088744.6,
92,2019-08-29 08:24:30,1567088670.0,,,,,,1567088774.7,
93,2019-08-29 18:32:00,1567125120.0,,,,,,1567125224.7,
94,2019-08-29 18:34:00,1567125240.0,,,,,,1567125344.9,
95,2019-08-30 08:35:00,1567175700.0,,,,,,1567175805.3,
96,2019-08-30 08:36:00,1567175760.0,,,,,,1567175865.2,
97,2019-08-30 08:37:00,1567175820.0,,,,,,1567175925.1,
98,2019-08-30 18:08:00,1567210080.0,,,,,,1567210185.4,
99,2019-08-30 18:09:00,1567210140.0,,,,,,1567210245.2,
100,2019-08-30 18:10:00,1567210200.0,,,,,,1567210305.4,
101,2019-09-04 08:09:00,1567606140.0,,,,,,1567606249.2,
102,2019-09-04 08:10:00,1567606200.0,,,,,,1567606309.3,
103,2019-09-04 20:20:00,1567650000.0,,,,,,1567650109.3,
104,2019-09-04 20:21:00,1567650060.0,,,,,,1567650169.5,
105,2019-09-04 20:22:00,1567650120.0,,,,,,1567650229.3,
106,2019-09-05 08:40:00,1567694400.0,,,,,,1567694509.9,
107,2019-09-05 08:41:00,1567694460.0,,,,,,1567694569.9,
108,2019-09-06 18:29:00,1567816140.0,,,,,,1567816251.0,
109,2019-09-06 18:30:00,1567816200.0,,,,,,1567816311.1,
110,2019-09-09 08:27:00,1568039220.0,,,,,,1568039333.3,
111,2019-09-09 08:28:00,1568039280.0,,,,,,1568039393.3,
112,2019-09-09 08:29:00,1568039340.0,,,,,,1568039453.5,
113,2019-09-09 08:30:00,1568039400.0,,,,,,1568039513.5,
114,2019-09-09 08:31:00,1568039460.0,,,,,,1568039573.4,
